Dept;Description;Cost centre;Division;Branch;TermRel;Term;Short
1059;Sogn og Fjordane Thermo;107093;10;1018;NOPOSTENFORDE01;TNOFDE;FDE
1060;Stryn Thermo;106653;10;1022;NOPOSTENSTRYN01;TNOSTR;STR
1061;Oslo Thermo Distribution ;106646;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1094;Pallet handling PN;490010;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1096;Posten Norge AS EDI;990097;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1097;Posten Norge AS Spot quotes;990097;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
2001;Oslo International Forwarding;801377;20;2001;NOBRINGOSLO01;#N/A;#N/A
2002;Bergen International Forwarding;801373;20;2002;NOBRINGBERGE01;#N/A;#N/A
2003;Stokke International Forwarding;801380;20;2003;NOBRINGSTOKK01;#N/A;#N/A
2004;Fredrikstad International Forwarding;801381;20;2004;NOBRINGFREDR01;#N/A;#N/A
2005;Kristiansand International Forwarding;801376;20;2005;NOBRINGKRIST01;#N/A;#N/A
2006;Drammen International Forwarding;801374;20;2006;NOBRINGDRAMM01;#N/A;#N/A
2007;Stavanger International Forwarding;801378;20;2007;NOBRINGSTAVA01;#N/A;#N/A
2008;Haugesund International Forwarding;801375;20;2008;NOBRINGHAUGE01;#N/A;#N/A
2009;Ålesund International Forwarding;801382;20;2009;NOBRINGALESU01;#N/A;#N/A
2010;Trondheim International Forwarding;801379;20;2010;NOBRINGTRONDH01;#N/A;#N/A
2019;Svinesund International Forwarding;990048;20;2019;NOBRINGSVINE01;TNOSVD;SVD
2094;Pallet handling BCINO;490011;20;2001;NOBRINGOSLO01;#N/A;#N/A
2096;BCI Norway AS EDI;980097;20;2001;NOBRINGOSLO01;#N/A;#N/A
2097;BCI Norway AS Spot quotes;980097;20;2001;NOBRINGOSLO01;#N/A;#N/A
3101;Bring Cargo Intern AB Jönköp;780145;31;3101;SEBRINGJONKO01;TSEJKG;JKG
3102;Bring Cargo Intern AB Malmö;780148;31;3102;SEBRINGMALMO01;TSEMMA;MMA
3103;Bring Cargo Intern AB Ystad;780153;31;3103;SEBRINGYSTAD01;TSEYST;YST
3104;Bring Cargo Intern AB Halmstad;780155;31;3104;SEBRINGHALMS01;TSEHAD;HAD
3105;Bring Cargo Intern AB Linköp;780156;31;3105;SEBRINGLINKO01;TSELPI;LPI
3106;Bring Cargo Intern AB Stockh;780157;31;3106;SEBRINGSTOCK01;TSESTO;STO
3107;Bring Cargo Intern AB Göteborg;780158;31;3107;SEBRINGGOTEB01;TSEGOT;GOT
3194;Pallet handling BCISE;383289;31;3101;SEBRINGJONKO01;TSEJKG;JKG
3196;Bring Cargo Intern AB EDI;383289;31;3198;#N/A;#N/A;#N/A
3197;Bring Cargo Intern AB Quotes;383289;31;3199;#N/A;#N/A;#N/A
4101;Bring Cargo A/S Kastrup;990050;41;4101;DKBRINGKASTR01;TDKKTP;KTP
4102;Bring Cargo A/S Risskov;990051;41;4102;DKBRINGRISSK01;TDKRSS;RSS
4194;Pallet handling BCIDK;490012;41;4101;DKBRINGKASTR01;TDKKTP;KTP
4196;Bring Cargo A/S EDI;490012;41;4198;#N/A;#N/A;#N/A
4197;Bring Cargo A/S Quotes ;990052;41;4199;#N/A;#N/A;#N/A
