ENHETVAKT;"Navn 4. ledd";Beskrivelse
501727;501727;"DD Eikelandsosen D.Punkt"
501505;501505;"DD Granvin D.Satellitt"
501521;501521;"DD Steine D.Enhet"
503510;503510;"DD Hardbakke D.Satellitt"
503501;503501;"DD Askvoll D.Satellitt"
501761;501761;"DD Mastrevik D.Punkt"
501765;501765;"DD Austevoll D.Punkt"
501716;501716;"DD Askøy D.Enhet"
973310;973310;"Bergen Pakker Kjøpt Transport"
501708;501708;"DD Åsane D.Punkt"
501714;501714;"DD  Laksevåg D.Enhet"
501701;501701;"DP Bergen Terminal RK Enhet 1"
501712;501712;"DD  Loddefjord D.Enhet"
101218;101218;"Bergen Pakker Bedriftspakker 2"
101745;101745;"Bergen Pakker Bedriftspakker 3"
617704;617704;"DD Kristiansund D.Enhet"
617715;617715;"DD Ålesund D.Enhet 1"
617706;617706;"DD Åndalsnes D.Enhet"
617719;617719;"DD Elnesvågen D.Enhet"
617716;617716;"DD Ålesund D.Enhet 2"
617709;617709;"DD Digernes D.Enhet"
617710;617710;"DD Indre Sunnmøre D.Enhet"
974110;974110;"PTT Ålesund Kjøpt Transport"
974140;974140;"OP Molde Kjøpt Transport"
617713;617713;"DD Hovdebygda D.Enhet"
617703;617703;"DD Sunndalsøra D.Enhet"
503712;503712;"DD Nordfjord D.Enhet"
503708;503708;"DD Nordfjordeid D.Punkt"
617702;617702;"DD Indre Nordmøre D.Enhet"
617512;617512;"DD Valldal D.Punkt"
617711;617711;"DD Ulsteinvik D.Enhet"
617762;617762;"DD Fiskåbygd D.Punkt"
617520;617520;"DD Harøy D.Punkt"
617525;617525;"DD Smøla D.Punkt"
617531;617531;"DD Batnfjordsøra D.Punkt"
617519;617519;"DD Midsund D.Punkt"
617518;617518;"DD Aukra D.Punkt"
617718;617718;"DD Vestnes D.Punkt"
617528;617528;"DD Eidsvåg D.Punkt"
617766;617766;"DD Tingvoll D.Punkt"
617523;617523;"DD Halsanaustan D.Punkt"
617701;617701;"DD Averøy D.Punkt"
617526;617526;"DD Tustna D.Punkt"
503707;503707;"DD Ytre Nordfjord D.Enhet"
974120;974120;"Ålesund Pakker Distribusjon"
101695;101695;"Ålesund Pakker Linje"
101328;101328;"Ålesund Distribusjon"
974130;974130;"Molde Lastebil"
617707;617707;"DD Molde D.Enhet"
101767;101767;"Molde Varebil"
503507;503507;"DD Bremanger D.Punkt"
613701;613701;"DD Trondheim D.Enhet 5"
974221;974221;"Trondheim Linje 2"
613717;613717;"DD Orkdal D.Enhet"
613716;613716;"DD Oppdal D.Enhet"
613718;613718;"DD Gauldalen D.Enhet"
613722;613722;"DD Åfjord D.Punkt"
613721;613721;"DD Trondheim D.Enhet 4"
613724;613724;"DD Ørland/Bjugn D.Punkt"
613726;613726;"DD Fosen D.Enhet"
613760;613760;"DD Støren D.Enhet"
613761;613761;"DD Selbu D.Enhet"
613720;613720;"DD Hitra D.Enhet"
609701;609701;"DD Rørvik D.Enhet"
609702;609702;"DD Ytre Namdal D.Enhet"
609704;609704;"DD Namsos D.Enhet"
609708;609708;"DD Verdal D.Enhet"
609710;609710;"DD Levanger D.Enhet"
609711;609711;"DD Skogn D.Enhet"
609761;609761;"DD Inderøy D.Enhet"
609762;609762;"DD Indre Namdal D.Enhet"
609713;609713;"DD Stjørdal D.Enhet 2"
974222;974222;"Trondheim Logistikk Distrib.1"
609760;609760;"DD Beitstad D.Enhet"
974230;974230;"Steinkjer Transport"
613706;613706;"DD Trondheim D.Enhet 10"
613707;613707;"DD Trondheim D.Enhet 6"
974240;974240;"Trondheim Logistikk Distrib. 2"
613714;613714;"DD Trondheim D.Enhet 8"
613713;613713;"DD Trondheim D.Enhet 7"
613705;613705;"Trondheim Logistikk Distrib. 3"
609706;609706;"DD Steinkjer D.Enhet"
609705;609705;"DD Steinkjer D.Enhet 1"
973140;973140;"Kristiansand Lastebil"
407704;407704;"DD Kristiansand D.Enhet 3"
407708;407708;"DD Kristiansand D.Enhet 2"
106790;106790;"DD Kristiansand D.Enhet 1"
407702;407702;"DD Mandal D.Enhet"
407735;407735;"DD Evje D.Enhet"
407721;407721;"DD Arendal D.Enhet 2"
407722;407722;"DD Arendal D.Enhet 3"
407728;407728;"DD Risør D.Enhet"
407715;407715;"DD Farsund og Lyngdal D.Enhet"
101182;101182;"Kristiansand Bedriftspakker"
407720;407720;"DD Arendal D.Enhet 1"
101717;101717;"Narvik Transport 3"
974450;974450;"Narvik Linje"
101643;101643;"Helgeland Transport"
974480;974480;"Alta Distribusjon"
101664;101664;"Alta HD Distribusjon"
101659;101659;"Alta Gods Terminal"
974440;974440;"Harstad Linje"
974420;974420;"Tromsø Transport"
701501;701501;"DD Værøy D.Punkt"
974320;974320;"Fauske Distribusjon"
809707;809707;"DD Tromsø D.Enhet 1"
809710;809710;"DD Tromsø D.Enhet 3"
809711;809711;"DD Tromsø D.Enhet 4"
809706;809706;"DD Nordkjosbotn D.Enhet"
806707;806707;"DD Bardufoss D.Enhet"
806708;806708;"DD Finnsnes D.Enhet 1"
809713;809713;"DD Storslett D.Enhet"
809714;809714;"DD Alta D.Punkt"
809717;809717;"DD Hammerfest D.Enhet"
809727;809727;"DD Lakselv D.Punkt"
809719;809719;"DD Tana D.Enhet"
809718;809718;"DD Kirkenes D.Enhet"
806701;806701;"DD Narvik D.Enhet"
806711;806711;"DD Harstad D.Punkt"
806704;806704;"DD Sortland D.Enhet"
806703;806703;"DD Lofoten D.Enhet"
806706;806706;"DD Leknes D.Punkt"
806705;806705;"DD Vesterålen D.Enhet"
809716;809716;"DD Alta D.Enhet"
806709;806709;"DD Finnsnes D.Enhet"
806710;806710;"DD Harstad D.Enhet"
701701;701701;"DD Bodø D.Enhet 1"
701703;701703;"DD Bodø D.Enhet 3"
701704;701704;"DD Indre Salten D.Enhet"
701707;701707;"DD Mo i Rana D.Enhet"
701708;701708;"DD Mo i Rana D.Punkt"
701709;701709;"DD Mosjøen D.Enhet 1"
701710;701710;"DD Mosjøen D.Enhet"
701711;701711;"DD Sandnessjøen D.Enhet"
701712;701712;"DD Brønnøysund D.Enhet"
701760;701760;"DD Tverlandet D.Enhet"
701761;701761;"DD Rognan D.Punkt"
701762;701762;"DD Dønna D.Punkt"
701765;701765;"DD Nesna D.Punkt"
701769;701769;"DD Nord Salten D.Enhet"
701770;701770;"DD Sør Salten D.Enhet"
974030;974030;"Fauske HD Distribusjon"
101301;101301;"Fauske Kjøre/Ordre"
101739;101739;"Harstad Distribusjon"
974425;974425;"Tromsø HD Distribusjon"
105871;105871;"Tromsø Transport BP"
