searchName;relationNumber;nameLine1;nameLine2;nameLine3;addressLine1;addressLine2;addressLine3;postalCode;city;countryCode;subentityCode;postOfficeBox;postOfficeBoxPostalcode;postOfficeBoxCity;postOfficeBoxCountry;telephoneNumber;telefaxNumber;emailAddress;internetAddress;contactPerson;typeOfRelation;currencyCode;vatCode;languageCode;relationGroup;paymentTerm;creditLimit;vatNumberOrg;vatNumber
NOBUNDERHAUSTAVA0001;10035433878;B. Underhaug As;-;;Postboks 8066 Forus  ;;;4068;Stavanger;NO;;;;;;;;;;;1;;0;;1;;;998410118;NO998410118
NOARBEIDSMIOSLO0001;10035457638;Arbeidsmiljøhuset As;-;;Sognsveien 75 F;;;0855;Oslo;NO;;;;;;;;;;;1;;0;;1;;;918708677;NO918708677
NOADVOKATFIHARST0003;10035517092;Advokatfirmaet Jørstad As;-;;Postboks 29 Breivika;;;9415;HARSTAD;NO;;;;;;;;;;;1;;0;;1;;;919212586;NO919212586
NOADVOKATFIOSLO0088;10035536472;Advokatfirmaet Ræder As;-;;Postboks 2944 Solli  ;;;0230;Oslo;NO;;;;;;;;;;;1;;0;;1;;;919100265;NO919100265
NOADARMAADVPORSG0001;10035545424;Ad Arma Advokatfirma As;-;;Postboks 1113;;;3905;PORSGRUNN;NO;;;;;;;;;;;1;;0;;1;;;815610652;NO815610652
NOADVOKATFIOSLO0089;10035580918;Advokatfirma Toft-Larsson As;-;;Postboks 86 Mortensrud  ;;;1215;Oslo;NO;;;;;;;;;;;1;;0;;1;;;913665147;NO913665147
NOANTOBILASNESTT0001;10035639722;Anto Bil As;-;;Helldalshaugen 22 ;;;5226;Nesttun;NO;;;;;;;;;;;1;;0;;1;;;912826058;NO912826058
NOAMLAAMINAOSLO0001;10035643641;Amla-Amina Lannab;-;;Postboks 6631 Rodeløkka  ;;;0502;Oslo;NO;;;;;;;;;;;1;;0;;1;;;918933867;NO918933867
NOAUTORISERSILJA0001;10035659001;Autorisert Fotterapeut Maria Gjuvsl;-;;Holteringen 38 ;;;3748;Siljan;NO;;;;;;;;;;;1;;0;;1;;;916045050;NO916045050
NOANSIKTETAHAUGE0001;10035673580;Ansiktet As;-;;Kvartsvegen 5 ;;;5516;Haugesund;NO;;;;;;;;;;;1;;0;;1;;;998867827;NO998867827
NOAERWAYASTROND0001;10035782126;Aerway As;-;;Postboks 5744 Torgarden  ;;;7437;Trondheim;NO;;;;;;;;;;;1;;0;;1;;;919431997;NO919431997
NOALIHARMOUOSLO0001;10035806446;Ali Harmoush As;Pib Rema 1000 Veitvet;;Veitvetveien 8 ;;;0596;Oslo;NO;;;;;;;;;;;1;;0;;1;;;919437707;NO919437707
NOAECHOLDINLYSAK0001;10035840171;Aec Holding (Norway) As;-;;Postboks 264  ;;;1326;Lysaker;NO;;;;;;;;;;;1;;0;;1;;;815577272;NO815577272
NOAXELSONSBOSLO0001;10035851673;Axelsons Body Work School As;-;;Akersgata 28 ;;;0158;OSLO;NO;;;;;;;;;;;1;;0;;1;;;918851836;NO918851836
NOASEMILBERGE0001;10035904167;As Emil;Avd Lager Laksevåg;;Markeveien 10 ;;;5012;Bergen;NO;;;;;;;;;;;1;;0;;1;;;911430673;NO911430673
NOASKVOLLKOASKVO0001;10035949949;Askvoll Kommune;Avd Brannvesen;;Postboks 174;;;6988;ASKVOLL;NO;;;;;;;;;;;1;;0;;1;;;964968330;NO964968330
NOAIGIASOSLO0001;10035986750;Aigi As;-;;Fredensborgveien 41 ;;;0177;OSLO;NO;;;;;;;;;;;1;;0;;1;;;919086742;NO919086742
NOAUSTEVOLLBEKKJ0004;10035993137;Austevollklinikken V/Ragni Østervol;-;;Postboks 2  ;;;5399;Bekkjarvik;NO;;;;;;;;;;;1;;0;;1;;;983706622;NO983706622
NOANETTELIASKOGN0001;10035993467;Anette Lian Aspås Prikken Over I-En;-;;Postboks 57   ;;;7619;Skogn;NO;;;;;;;;;;;1;;0;;1;;;918735720;NO918735720
NOADVOKATFISTJOR0001;10036042264;Advokatfirmaet Welde As;-;;Postboks 139   ;;;7501;Stjørdal;NO;;;;;;;;;;;1;;0;;1;;;918545360;NO918545360
NOBAKERIETAANDEN0001;10036128543;Bakeriet Andenes As;-;;Kong Hans Gate 1 B;;;8480;Andenes;NO;;;;;;;;;;;1;;0;;1;;;916059205;NO916059205
PLASNESTLENWROCL0003;10036186301;As Nestlé Norge;Nespresso Rycycling;;Po Box 1154, Urzad Pocztowy 44;;;50986;Wroclaw;PL;;;;;;;;;;;1;;0;;1;;;814576612;PL814576612
NOADVOKATFIOSLO0090;10036228137;Advokatfirmaet Braute As;-;;Eilert Sundts Gate 17 B;;;0259;Oslo;NO;;;;;;;;;;;1;;0;;1;;;914790549;NO914790549
NOAASHEIMBISTORD0001;10036268083;Aasheim Bil As;-;;Postboks 1307 Heiane  ;;;5406;Stord;NO;;;;;;;;;;;1;;0;;1;;;999145159;NO999145159
NOARENDALTAAREND0001;10036268190;Arendal Tannteknikk Torstein Line;-;;Postboks 22  ;;;4801;Arendal;NO;;;;;;;;;;;1;;0;;1;;;917991200;NO917991200
NOAKTIESELSSKOGS0001;10036283967;Aktieselskapet Vinmonopolet;Butikk Sund;;Postboks 6  ;;;5371;Skogsvåg;NO;;;;;;;;;;;1;;0;;1;;;817209882;NO817209882
NOASKBRYGGHKROKK0001;10036323839;Ask Brygghus As;-;;Åsaveien 95 ;;;3531;KROKKLEIVA;NO;;;;;;;;;;;1;;0;;1;;;918073639;NO918073639
NOALTIVENTTAVALD0001;10036385721;Altivent T Sandberg;-;;Postboks 5  ;;;4299;Avaldsnes;NO;;;;;;;;;;;1;;0;;1;;;914091411;NO914091411
NOADVOKATFIOSLO0091;10036389145;Advokatfirmaet Thomas Thorstensen;-;;C. J. Hambros Plass 7 ;;;0164;Oslo;NO;;;;;;;;;;;1;;0;;1;;;987354844;NO987354844
NOALVESTADAALESU0001;10036394046;Alvestad Automation As;-;;Alvikvegen 201 A;;;6019;ÅLESUND;NO;;;;;;;;;;;1;;0;;1;;;919202386;NO919202386
NOASKESISASOSLO0001;10036407947;Askesis As;-;;Postboks 2792 Solli  ;;;0204;Oslo;NO;;;;;;;;;;;1;;0;;1;;;916254938;NO916254938
NOASSOCIATIOSLO0001;10036417656;Association Of Kenyans In Norway-Ak;-;;Postboks 146 Sentrum;;;0102;OSLO;NO;;;;;;;;;;;1;;0;;1;;;996516601;NO996516601
NOBGRONENGAMELHU0001;10036479052;B Grøneng Anlegg;-;;Postboks 72   ;;;7221;Melhus;NO;;;;;;;;;;;1;;0;;1;;;995357712;NO995357712
NOATRIUMNORKRIST0001;10036487402;Atrium Norge As;-;;Postboks 425 Lundsiden  ;;;4604;Kristiansand S;NO;;;;;;;;;;;1;;0;;1;;;918647813;NO918647813
NOADVOKATFIOSLO0092;10036491305;Advokatfirmaet Norjus Da;Avd Sognsveien;;Postboks 5081 Majorstuen  ;;;0301;Oslo;NO;;;;;;;;;;;1;;0;;1;;;979513186;NO979513186
NOAESIRACADKROKS0001;10036494523;Aesir Academy AS;-;;Gamle Riksvei 196 A;;;3055;Krokstadelva;NO;;;;;;;;;;;1;;0;;1;;;919570105;NO919570105
NOAOMBOBILOKLAVE0001;10036494879;Aom Bobil Og Caravan Arild O. Mathi;-;;Postboks 12  ;;;1742;Klavestadhaugen;NO;;;;;;;;;;;1;;0;;1;;;915333257;NO915333257
NOAKTUARENELYSAK0001;10036495488;Aktuarene Hove & Michelsen As;-;;Postboks 431  ;;;1327;Lysaker;NO;;;;;;;;;;;1;;0;;1;;;916790732;NO916790732
NOADVOKATELOSLO0001;10036546082;Advokat Eli Cathrine Johansen;-;;Postboks 88 Holmenkollen  ;;;0712;Oslo;NO;;;;;;;;;;;1;;0;;1;;;918738169;NO918738169
NOASKIMKOMMASKIM0002;10036577780;Askim Kommune Service Teknikk Og Ei;-;;Postboks 2003  ;;;1801;Askim;NO;;;;;;;;;;;1;;0;;1;;;917105510;NO917105510
NOAUTOINVESTROND0001;10036607025;Autoinvest Midtre Gauldal As;-;;Postboks 5400 Lade  ;;;7442;Trondheim;NO;;;;;;;;;;;1;;0;;1;;;919712163;NO919712163
NOARTLYSIANNESBR0001;10036620150;Artlysian Jovanovic;-;;Holmenåsen 14 B;;;1394;Nesbru;NO;;;;;;;;;;;1;;0;;1;;;918694536;NO918694536
NOALUNDINVEGJOVI0001;10036628534;Alund Invest As;-;;Sommerrostien 7 ;;;2816;GJØVIK;NO;;;;;;;;;;;1;;0;;1;;;912276287;NO912276287
SEARNEFRIENKALLE0001;10036639820;Arne & Friends Ab;-;;Färåsvägen 45;;;428 37;Kållered;SE;;;;;;;;;;;1;;0;;1;;;559098-4737;SE559098-4737
